STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acs2022_5yr_geoid,acs2022_5yr_name,acs2022_5yr_total 65 and older,acs2022_5yr_geoid_new,acs2022_5yr_65_proportion
"06","001","442700","06001442700",1400000US06001442700,"4427",Census Tract 4427,G5020,S,"1234016","0","+37.5371513","-122.0081095",14000US06001442700,"Census Tract 4427, Alameda, CA","458","06001442700",0.145906339598598
"06","001","442800","06001442800",1400000US06001442800,"4428",Census Tract 4428,G5020,S,"1278646","0","+37.5293619","-121.9931002",14000US06001442800,"Census Tract 4428, Alameda, CA","462","06001442800",0.148314606741573
"06","001","442900","06001442900",1400000US06001442900,"4429",Census Tract 4429,G5020,S,"2066523","0","+37.5184093","-121.9748369",14000US06001442900,"Census Tract 4429, Alameda, CA","942","06001442900",0.12107969151671
"06","001","443001","06001443001",1400000US06001443001,"4430.01",Census Tract 4430.01,G5020,S,"768730","0","+37.5184218","-121.9515237",14000US06001443001,"Census Tract 4430.01, Alameda, CA","237","06001443001",0.0858073859522085
"06","001","443002","06001443002",1400000US06001443002,"4430.02",Census Tract 4430.02,G5020,S,"1580322","0","+37.5168344","-121.9605916",14000US06001443002,"Census Tract 4430.02, Alameda, CA","836","06001443002",0.126685861494166
"06","001","443102","06001443102",1400000US06001443102,"4431.02",Census Tract 4431.02,G5020,S,"2367415","0","+37.5072245","-121.9271486",14000US06001443102,"Census Tract 4431.02, Alameda, CA","734","06001443102",0.152408637873754
"06","001","443301","06001443301",1400000US06001443301,"4433.01",Census Tract 4433.01,G5020,S,"1556745","0","+37.4707721","-121.9130472",14000US06001443301,"Census Tract 4433.01, Alameda, CA","739","06001443301",0.167992725619459
"06","001","444100","06001444100",1400000US06001444100,"4441",Census Tract 4441,G5020,S,"2955571","60526","+37.5509780","-122.0361606",14000US06001444100,"Census Tract 4441, Alameda, CA","1423","06001444100",0.197337401192622
"06","001","444200","06001444200",1400000US06001444200,"4442",Census Tract 4442,G5020,S,"2069720","0","+37.5425433","-122.0457280",14000US06001444200,"Census Tract 4442, Alameda, CA","944","06001444200",0.139191978767325
"06","001","444400","06001444400",1400000US06001444400,"4444",Census Tract 4444,G5020,S,"1027755","0","+37.5362315","-122.0353380",14000US06001444400,"Census Tract 4444, Alameda, CA","501","06001444400",0.0933482392397988
