NAMELSAD,LAT,LON,acs2022_5yr_total 65 and older,acs2022_5yr_65_proportion
Census Tract 4427,37.5371513,-122.0081095,458,0.14590634
Census Tract 4428,37.5293619,-121.9931002,462,0.148314607
Census Tract 4429,37.5184093,-121.9748369,942,0.121079692
Census Tract 4430.01,37.5184218,-121.9515237,237,0.085807386
Census Tract 4430.02,37.5168344,-121.9605916,836,0.126685861
Census Tract 4431.02,37.5072245,-121.9271486,734,0.152408638
Census Tract 4433.01,37.4707721,-121.9130472,739,0.167992726
Census Tract 4441,37.550978,-122.0361606,1423,0.197337401
Census Tract 4442,37.5425433,-122.045728,944,0.139191979
Census Tract 4444,37.5362315,-122.035338,501,0.093348239
Census Tract 4445,37.5342653,-122.0273658,690,0.098740698
Census Tract 4502,37.7224277,-121.9154123,697,0.132207891
Census Tract 4503,37.7106517,-121.9177272,748,0.139188686
Census Tract 4414.02,37.5823293,-122.0400088,960,0.179640719
Census Tract 4415.01,37.5695603,-122.0740416,1233,0.215446444
Census Tract 4415.21,37.5730234,-122.0528477,1038,0.172539894
Census Tract 4415.22,37.5846106,-122.0572653,694,0.131563981
Census Tract 4416.01,37.5635065,-122.0305636,816,0.170925848
Census Tract 4416.02,37.5569619,-122.0212342,1273,0.169529897
Census Tract 4418,37.5591958,-121.9915699,872,0.140441295
Census Tract 4419.21,37.5424223,-121.9678076,279,0.07248636
Census Tract 4419.23,37.5509616,-121.9850062,627,0.108533841
Census Tract 4421,37.5481429,-121.9499143,804,0.150929228
Census Tract 4424,37.5313806,-121.9737794,723,0.112669472
Census Tract 4415.25,37.4990214,-121.9388552,27,0.016843419
Census Tract 4403.37,37.5937696,-122.0108429,411,0.144109397
Census Tract 4403.38,37.5882461,-122.0142011,180,0.043956044
Census Tract 4511.03,37.6388221,-121.729043,254,0.18662748
Census Tract 4326.02,37.7247163,-122.1508066,466,0.149215498
Census Tract 4511.04,37.6343064,-121.6163068,665,0.092825237
Census Tract 4419.28,37.5499103,-121.9629333,431,0.115364026
Census Tract 4419.29,37.5543457,-121.9723074,278,0.09073107
Census Tract 4417.01,37.5479521,-122.0150386,454,0.116889804
Census Tract 4443.04,37.508137,-122.0358825,513,0.08005618
Census Tract 4364.04,37.6737239,-122.0592192,653,0.202042079
Census Tract 4363.01,37.6678078,-122.0945904,441,0.083920076
Census Tract 4504,37.7126655,-121.9324172,1103,0.139868121
Census Tract 4417.02,37.5583412,-122.0082979,527,0.104625769
Census Tract 4338.01,37.7049461,-122.1226567,489,0.138605442
Census Tract 4338.02,37.6948314,-122.123894,760,0.176703092
Census Tract 4363.02,37.6641766,-122.087795,485,0.123346897
Census Tract 4364.03,37.669152,-122.0708563,507,0.112192963
Census Tract 4034.02,37.8024095,-122.2651075,115,0.101410935
Census Tract 4425.02,37.5396667,-121.9903682,588,0.152095189
Census Tract 4425.01,37.5346224,-121.9839849,447,0.136280488
Census Tract 4506.09,37.6891989,-121.92397,890,0.180600649
Census Tract 4506.08,37.6564813,-121.9043199,587,0.126019751
Census Tract 4443.03,37.5249502,-122.0812538,0,
Census Tract 4326.01,37.7215214,-122.1576682,636,0.15542522
Census Tract 4034.01,37.8092493,-122.2597833,843,0.310268679
Census Tract 4033.02,37.7937603,-122.2667344,157,0.0614241
Census Tract 4033.01,37.7981065,-122.266955,467,0.255191257
Census Tract 9821,37.8737516,-122.2546176,2,0.002166847
Census Tract 4203.02,37.8906499,-122.3181164,294,0.120196239
Census Tract 4028.01,37.8095483,-122.2707403,569,0.174861709
Census Tract 4028.02,37.8070174,-122.2735577,450,0.314685315
Census Tract 4204.01,37.8848762,-122.2997917,112,0.084021005
Census Tract 4229.02,37.8687746,-122.2698172,67,0.022170748
Census Tract 4229.01,37.8657427,-122.2678632,147,0.072628458
Census Tract 4204.02,37.886211,-122.3141636,17,0.010234798
Census Tract 4203.01,37.8947347,-122.3047951,452,0.170888469
Census Tract 4506.03,37.6888372,-121.9106075,685,0.13988156
Census Tract 4506.04,37.6811898,-121.8865528,1029,0.206088524
Census Tract 4506.05,37.6721104,-121.8819955,587,0.15390666
Census Tract 4506.06,37.6694706,-121.899759,1010,0.167551427
Census Tract 4517.01,37.6721084,-121.787947,407,0.138623978
Census Tract 4515.01,37.6733478,-121.7369681,798,0.177491103
Census Tract 4080,37.8029603,-122.1828718,692,0.241958042
Census Tract 4414.01,37.5735085,-122.0375264,983,0.130215923
Census Tract 4324,37.7085402,-122.1858996,790,0.124487866
Census Tract 4043,37.844821,-122.2385523,751,0.209367159
Census Tract 4351.04,37.6385144,-122.0388422,707,0.103121354
Census Tract 4053.01,37.8020757,-122.2513558,355,0.123607242
Census Tract 9820,37.796028,-122.2953295,20,0.4
Census Tract 4501.02,37.7208227,-121.8911768,429,0.058161605
Census Tract 4433.21,37.4902703,-121.9242859,401,0.118920522
Census Tract 4446.02,37.5116224,-122.0028758,557,0.112867275
Census Tract 4505.02,37.7102505,-121.9676415,1196,0.190871369
Census Tract 4507.51,37.7164128,-121.8428623,678,0.053546043
Census Tract 4507.52,37.7409198,-121.823992,684,0.071020662
Census Tract 4356.02,37.6819299,-122.107,872,0.153764768
Census Tract 4371.01,37.6059048,-122.126873,1266,0.159045226
Census Tract 4382.03,37.6156286,-122.0575298,744,0.181862625
Census Tract 4431.05,37.5218355,-121.932256,815,0.174592973
Census Tract 4515.04,37.6979401,-121.7322366,185,0.120207927
Census Tract 4035.02,37.8159444,-122.2569636,224,0.116727462
Census Tract 4037.02,37.8094979,-122.2520933,246,0.109919571
Census Tract 4251.01,37.8382532,-122.3054128,460,0.262257697
Census Tract 4301.01,37.7272887,-122.0150232,1247,0.177281774
Census Tract 4301.02,37.7674981,-122.050012,696,0.283041887
Census Tract 4082,37.775104,-122.1755739,737,0.164840081
Census Tract 4084,37.7646042,-122.1709592,506,0.124110866
Census Tract 4085,37.7604176,-122.1785112,511,0.090699326
Census Tract 4086,37.7661938,-122.1822982,650,0.099708544
Census Tract 4087,37.7688645,-122.1889326,816,0.10944206
Census Tract 4088,37.758918,-122.1969979,590,0.074046185
Census Tract 4089,37.7541581,-122.1889463,400,0.101112235
Census Tract 4091,37.7323419,-122.1834828,243,0.095971564
Census Tract 4092,37.7291306,-122.1778427,347,0.095988935
Census Tract 4093,37.7378474,-122.1733603,376,0.065471008
Census Tract 4094,37.744613,-122.1803623,327,0.069426752
Census Tract 4095,37.7504463,-122.1837659,312,0.072710324
Census Tract 4096,37.7532669,-122.1726197,518,0.100797821
Census Tract 4097,37.7564185,-122.1658933,375,0.071564885
Census Tract 4101,37.7477424,-122.1533513,423,0.133354351
Census Tract 4102,37.7453063,-122.1571742,381,0.117665225
Census Tract 4104,37.7408161,-122.1621741,569,0.121399616
Census Tract 4201,37.8946938,-122.2909385,483,0.183580388
Census Tract 4202,37.8944075,-122.2974489,474,0.144732824
Census Tract 4205,37.8866878,-122.2949826,311,0.122056515
Census Tract 4211,37.899434,-122.2661928,648,0.30740038
Census Tract 4214,37.8883409,-122.270922,650,0.396825397
Census Tract 4217,37.8819398,-122.2701842,867,0.253434668
Census Tract 4218,37.8802854,-122.2782006,499,0.22079646
Census Tract 4219,37.8794472,-122.2896362,703,0.169765757
Census Tract 4206,37.8869937,-122.2870443,627,0.179759174
Census Tract 4070,37.7879458,-122.2024901,1009,0.162689455
Census Tract 4072,37.7777848,-122.2192819,580,0.088630807
Census Tract 4073,37.7621786,-122.2109235,190,0.077267182
Census Tract 4074,37.7710407,-122.2067479,590,0.139085337
Census Tract 4076,37.7775293,-122.2031992,664,0.102802291
Census Tract 4077,37.7765251,-122.1932278,627,0.147947145
Census Tract 4078,37.7817468,-122.1868539,311,0.112314915
Census Tract 4237,37.8618284,-122.2490093,560,0.155296728
Census Tract 4238,37.8547209,-122.2441397,897,0.26189781
Census Tract 4239.01,37.852246,-122.267564,380,0.168290523
Census Tract 4277,37.7681553,-122.2868948,756,0.150928329
Census Tract 4278,37.7714922,-122.2690581,511,0.119560131
Census Tract 4240.01,37.8503694,-122.2746228,453,0.12475902
Census Tract 4281,37.7589136,-122.2346068,881,0.181052199
Census Tract 4282,37.7533497,-122.2396803,1558,0.240617761
Census Tract 4283.01,37.7344929,-122.2414385,1238,0.171872831
Census Tract 4283.02,37.7439709,-122.249779,1710,0.243520365
Census Tract 4284,37.7564138,-122.2559068,813,0.170941968
Census Tract 4309,37.6982784,-122.0828322,738,0.141542002
Census Tract 4310,37.6929313,-122.0784573,660,0.213523132
Census Tract 4321,37.7360495,-122.1466048,516,0.132579651
Census Tract 4280,37.7666414,-122.2475404,342,0.117687543
Census Tract 4285,37.7601324,-122.2593887,552,0.167171411
Census Tract 4286,37.766273,-122.2738461,815,0.251931994
Census Tract 4303,37.7172764,-122.0819576,875,0.203962704
Census Tract 4304,37.7212084,-122.1010957,453,0.210208817
Census Tract 4307,37.7060948,-122.0822254,636,0.155691554
Census Tract 4225,37.8773391,-122.2602611,393,0.087978509
Census Tract 4227,37.8679151,-122.2495095,132,0.027482823
Census Tract 4230,37.8668441,-122.2771352,611,0.134315234
Census Tract 4231,37.865807,-122.2863197,881,0.206081871
Census Tract 4240.02,37.8504772,-122.281531,358,0.134434848
Census Tract 4262,37.8246262,-122.2406411,990,0.203661798
Census Tract 4271,37.764909,-122.2299614,743,0.175982946
Census Tract 4272,37.780827,-122.248255,505,0.11202307
Census Tract 4273,37.7810489,-122.2662775,835,0.158054136
Census Tract 4233,37.8573281,-122.2842016,600,0.172612198
Census Tract 4366.02,37.6518201,-122.0851944,466,0.08867745
Census Tract 4403.04,37.5868721,-122.0766157,1142,0.244959245
Census Tract 4234,37.8583735,-122.275884,641,0.115474689
Census Tract 4235,37.8593612,-122.268048,675,0.190677966
Census Tract 4236.02,37.8631828,-122.2592684,711,0.098777438
Census Tract 4276,37.7778323,-122.2835979,515,0.108649789
Census Tract 4330,37.7159042,-122.1354894,792,0.208475915
Census Tract 4332,37.7017249,-122.1470315,1392,0.171428571
Census Tract 4333,37.6985123,-122.1575782,1401,0.19017239
Census Tract 4334,37.6862098,-122.1772459,1136,0.18807947
Census Tract 4335,37.6845055,-122.155317,845,0.196010206
Census Tract 4331.02,37.7020462,-122.1331241,718,0.161529809
Census Tract 4403.07,37.5911451,-122.0486878,1161,0.259093952
Census Tract 4403.08,37.5893168,-122.027817,1386,0.230577275
Census Tract 4412,37.5780625,-121.9910071,1096,0.149034539
Census Tract 4413.01,37.5716231,-122.0024689,481,0.144444444
Census Tract 4413.02,37.5693426,-122.0194346,857,0.14704873
Census Tract 4403.31,37.5980622,-122.0829553,423,0.129120879
Census Tract 4339,37.6992655,-122.1135392,482,0.067065535
Census Tract 4340,37.692345,-122.1102056,720,0.139372822
Census Tract 4355,37.6809369,-122.09333,544,0.130989646
Census Tract 4358,37.6793903,-122.1296211,776,0.136451556
Census Tract 4359,37.6724681,-122.147305,803,0.151795841
