ID,Address,Voting Days,Location
Precinct000021,2152 Central Avenue Alameda,4-Days,California Historical Radio Society
Precinct000022,1815 Union Street Alameda,4-Days,Bohol Circle Incorporated
Precinct000023,1912 Central Ave Alameda,4-Days,1st Congregational Ch Of Alameda
Precinct000024,2130 Otis Dr Alameda,4-Days,South Shore Center
Precinct000025,555 Ralph Appezzato Memorial Pwy Alameda,4-Days,College Of Alameda
Precinct000001,703 Atlantic Avenue Alameda,11-Days,Independence Plaza
Precinct000026,1249 Marin Ave Albany,4-Days,Albany Rec & Comm Services
Precinct000027,400 Adams St Albany,4-Days,Orientation Center For The Blind
Precinct000028,2465 Bancroft Way #218 Berkeley,4-Days,Ucb Public Service Center
Precinct000029,3075 Adeline St Berkeley,4-Days,Ed Roberts Campus
Precinct000030,2015 Virginia St Berkeley Ca,4-Days,Berkeley Arts Magnet School
Precinct000031,2425 Stuart St Berkeley,4-Days,Willard Middle School
Precinct000032,1953 Hopkins St Berkeley,4-Days,Epworth United Methodist Church
Precinct000033,920 Allston Way Berkeley,4-Days,Rosa Parks Elementary School
Precinct000034,1731 Prince St Berkeley,4-Days,Malcolm X Elementary School
Precinct000035,2112 Browning St,4-Days,West Campus Oxford Gym
Precinct000002,2600 Bancroft Way Berkeley,11-Days,Ywca Berkeley/oakland
Precinct000003,3600 Norbridge Ave Castro Valley,11-Days,Castro Valley Library
Precinct000036,17800 Redwood Road Castro Valley,4-Days,Kenneth C Aitken Senior Center
Precinct000037,18988 Lake Chabot Road Castro Valley,4-Days,Castro Valley Community Center
Precinct000038,6811 Villareal Dr Castro Valley,4-Days,Palomares Hills Rec Center
Precinct000039,7421 Amarillo Rd Dublin,4-Days,John Knox Presbyterian Church
Precinct000040,100 Civic Plaza Dublin,4-Days,Dublin Civic Center
Precinct000041,4825 Gleason Dr Dublin,4-Days,Santa Rita Public Works
Precinct000004,4201 Central Parkway Dublin,11-Days,The Wave
Precinct000042,4321 Salem St Emeryville,4-Days,Emeryville Senior Center
Precinct000043,37154 2nd St Fremont,4-Days,Veterans Memorial Hall
Precinct000044,38255 Blacow Rd Fremont,4-Days,United Church Of Christ Fremont
Precinct000045,43600 Mission Blvd Fremont,4-Days,Ohlone College
Precinct000046,4700 Calaveras Ave Fremont,4-Days,Fremont Adult & Education
Precinct000047,40382 Fremont Blvd Fremont,4-Days,Our Lady Of Guadalupe
Precinct000048,42000 Paseo Padre Pkwy Fremont,4-Days,Temple Beth Torah Synagogue
Precinct000049,42412 Albrae St Fremont,4-Days,Islamic Center Of Fremont
Precinct000050,555 Lemos Ln Fremont,4-Days,John Gomes Elementary School
Precinct000051,41800 Blacow Rd Fremont,4-Days,Irvington High School
Precinct000052,36300 Fremont Blvd Fremont,4-Days,American High School
Precinct000005,47102 Mission Falls Court Suite 109,11-Days,San Francisco Bay University
Precinct000006,2400 Stevenson Blvd Fremont,11-Days,Fremont Main Library
Precinct000007,25555 Hesperian Blvd Hayward,11-Days,Chabot College Student Center
Precinct000008,22100 Princeton St. Hayward,11-Days,Hayward Adult School
Precinct000053,425 Gresel St Hayward,4-Days,Fairway Park Baptist Church
Precinct000054,25800 W Loop Rd Hayward,4-Days,Cal State Univ East Bay
Precinct000055,28605 Ruus Rd Hayward,4-Days,Palma Ceia Baptist Church
Precinct000056,27182 Patrick Avenue Hayward,4-Days,Weekes Community Center - Park
Precinct000057,888 C St Hayward,4-Days,Downtown Hayward Public Library
Precinct000058,23515 Maud Ave Hayward,4-Days,Fairview Elementary School
Precinct000059,750 Calhoun St Hayward,4-Days,St Clements Church
Precinct000060,224 W Winton Ave Hayward,4-Days,Alameda County Office Building
Precinct000061,1020 Mocho St Livermore,4-Days,Holy Cross Lutheran Church
Precinct000062,557 Olivina Ave Livermore,4-Days,Livermore Valley Academy
Precinct000063,3585 Greenville Road,4-Days,Martinelli Center
Precinct000064,1232 Arrowhead Ave Livermore,4-Days,Hindu Community & Cultural Ctr
Precinct000065,1135 Bluebell Dr Livermore,4-Days,Celebration Church
Precinct000009,2466 8th St Livermore,11-Days,Bothwell Arts Center
Precinct000010,37055 Newark Blvd Newark,11-Days,Newark Public Library
Precinct000066,6800 Mowry Ave Newark,4-Days,The Silliman Center
Precinct000067,35725 Cedar Blvd Newark 94560,4-Days,Whiteford Pre School
Precinct000068,581 61st St Oakland,4-Days,Sankofa United Elem School
Precinct000069,5366 College Ave Oakland,4-Days,Oakland Lib Rockridge Branch
Precinct000070,8400 Enterprise Way,4-Days,City Of Refuge
Precinct000071,925 Brockhurst St Oakland,4-Days,St Mary's Center
Precinct000072,5555 Ascot Dr Oakland,4-Days,Montera Middle School
Precinct000073,3594 Sanborn Dr Oakland,4-Days,Joaquin Miller Center (closed)
Precinct000074,666 Bellevue Ave Oakland,4-Days,Lakeside Park Garden
Precinct000075,125 14th St Oakland,4-Days,Oakland Public Library
Precinct000076,3994 Burckhalter Ave Oakland,4-Days,Burckhalter Elem School
Precinct000077,5000 Macarthur Blvd Oakland,4-Days,Northeastern University
Precinct000078,2725 International Blvd Oakland,4-Days,Think College Now
Precinct000079,8000 Birch St Oakland,4-Days,East Oakland Pride Elementary
Precinct000080,476 34th St Oakland,4-Days,Parks Chapel Ame Church
Precinct000081,1183 10th St Oakland,4-Days,Beth Eden Batptist Church
Precinct000082,4850 Clarewood Dr Oakland,4-Days,St Theresa Church
Precinct000083,1909 Market St Oakland,4-Days,Greater St. John Missionary Baptist
Precinct000084,6401 San Pablo Ave Oakland,4-Days,St Columba Catholic Church
Precinct000085,115 Embarcadero Oakland,4-Days,Jack London Aquatic Center
Precinct000086,2101 35th Ave Oakland,4-Days,United For Success Academy
Precinct000087,1021 81st Ave Oakland,4-Days,81st Ave Branch Library
Precinct000011,7200 Bancroft Ave Oakland,11-Days,Eastmont Town Center Entrance F
Precinct000012,920 Campbell St Oakland,11-Days,Prescott School
Precinct000013,4351 Broadway Oakland,11-Days,Oakland Tech High School
Precinct000014,3200 Boston Ave Oakland,11-Days,Fruitvale Elementary School
Precinct000015,401 Jones Ave Oakland,11-Days,Brookfield Elementary School
Precinct000016,8501 International Blvd Oakland,11-Days,Allen Temple
Precinct000088,401 Highland Ave Piedmont,4-Days,Piedmont Veterans Memorial Bldg
Precinct000089,480 Adams Way Pleasanton,4-Days,Valley View Elementary School
Precinct000090,5001 Case Ave Pleasanton,4-Days,Pleasanton Middle School
Precinct000091,4900 Valley Ave Pleasanton,4-Days,Harvest Park Middle School
Precinct000092,1454 Santa Rita Rd. Pleasanton,4-Days,Alisal Elementary School
Precinct000017,5758 West Las Positas Blvd. Pleasanton,11-Days,Pleasanton Unified School District
Precinct000018,14600 Catalina St San Leandro,11-Days,Alameda County Electrical Jatc
Precinct000093,1600 Bancroft Ave,4-Days,First United Methodist Church San Leandr
Precinct000094,300 Estudillo Ave San Leandro,4-Days,San Leandro Main Library
Precinct000095,2860 Halcyon Dr San Leandro,4-Days,Halcyon Baptist Church
Precinct000096,601 Macarthur Blvd San Leandro,4-Days,San Leandro Church Of Christ
Precinct000097,395 Paseo Grande San Lorenzo,4-Days,San Lorenzo Library
Precinct000019,945 Paseo Grande San Lorenzo,11-Days,Df Wesleyan Church Of Tongan In America
Precinct000020,33520 Western Ave Union City,11-Days,Union City Apostolic Church
Precinct000098,31224 Union City Blvd Union City,4-Days,The Mark Green Sports Center
Precinct000099,703 C St Union City,4-Days,Our Lady Of The Rosary Church
Precinct000100,2801 Hop Ranch Rd Union City,4-Days,Cesar Chavez Middle School
