ID,Address,Voting Days,Location,Latitude,Longitude
Precinct000021,2152 Central Avenue Alameda,4-Days,California Historical Radio Society,37.766259,-122.24798
Precinct000022,1815 Union Street Alameda,4-Days,Bohol Circle Incorporated,37.774145,-122.252271
Precinct000023,1912 Central Ave Alameda,4-Days,1st Congregational Ch Of Alameda,37.768481,-122.253025
Precinct000024,2130 Otis Dr Alameda,4-Days,South Shore Center,37.760173,-122.253141
Precinct000025,555 Ralph Appezzato Memorial Pwy Alameda,4-Days,College Of Alameda,37.780383,-122.279406
Precinct000001,703 Atlantic Avenue Alameda,11-Days,Independence Plaza,37.780377,-122.275886
Precinct000026,1249 Marin Ave Albany,4-Days,Albany Rec & Comm Services,37.887941,-122.292966
Precinct000027,400 Adams St Albany,4-Days,Orientation Center For The Blind,37.897976,-122.302689
Precinct000028,2465 Bancroft Way #218 Berkeley,4-Days,Ucb Public Service Center,37.868328,-122.260003
Precinct000029,3075 Adeline St Berkeley,4-Days,Ed Roberts Campus,37.852774,-122.269328
Precinct000030,2015 Virginia St Berkeley Ca,4-Days,Berkeley Arts Magnet School,37.876873,-122.270348
Precinct000031,2425 Stuart St Berkeley,4-Days,Willard Middle School,37.860188,-122.258077
Precinct000032,1953 Hopkins St Berkeley,4-Days,Epworth United Methodist Church,37.887354,-122.27375
Precinct000033,920 Allston Way Berkeley,4-Days,Rosa Parks Elementary School,37.865472,-122.294095
Precinct000034,1731 Prince St Berkeley,4-Days,Malcolm X Elementary School,37.852566,-122.273579
Precinct000035,2112 Browning St,4-Days,West Campus Oxford Gym,0,0
Precinct000002,2600 Bancroft Way Berkeley,11-Days,Ywca Berkeley/oakland,37.868766,-122.256558
Precinct000003,3600 Norbridge Ave Castro Valley,11-Days,Castro Valley Library,37.692916,-122.071115
Precinct000036,17800 Redwood Road Castro Valley,4-Days,Kenneth C Aitken Senior Center,37.714973,-122.073424
Precinct000037,18988 Lake Chabot Road Castro Valley,4-Days,Castro Valley Community Center,37.707874,-122.090113
Precinct000038,6811 Villareal Dr Castro Valley,4-Days,Palomares Hills Rec Center,37.71369,-122.028572
Precinct000039,7421 Amarillo Rd Dublin,4-Days,John Knox Presbyterian Church,37.70503,-121.942328
Precinct000040,100 Civic Plaza Dublin,4-Days,Dublin Civic Center,37.703836,-121.91718
Precinct000041,4825 Gleason Dr Dublin,4-Days,Santa Rita Public Works,37.71419,-121.882691
Precinct000004,4201 Central Parkway Dublin,11-Days,The Wave,37.709847,-121.875265
Precinct000042,4321 Salem St Emeryville,4-Days,Emeryville Senior Center,37.833962,-122.279616
Precinct000043,37154 2nd St Fremont,4-Days,Veterans Memorial Hall,37.577296,-121.984012
Precinct000044,38255 Blacow Rd Fremont,4-Days,United Church Of Christ Fremont,37.540351,-122.007823
Precinct000045,43600 Mission Blvd Fremont,4-Days,Ohlone College,37.527638,-121.91628
Precinct000046,4700 Calaveras Ave Fremont,4-Days,Fremont Adult & Education,37.537767,-121.990622
